first_ledger_index,                last_ledger_index,                first_closing_time,                last_closing_time,                num_ledgers,                num_transactions,               Payment tx,               OfferCreate tx,               OfferCancel tx,               TrustSet tx,               AccountSet tx,               accounts_created
32570, 36733, 2013-01-01 03:21:10 +00:00, 2013-01-01 23:59:50 +00:00, 4164, 0, 0, 0, 0, 0, 0, 0
36733, 41436, 2013-01-01 23:59:50 +00:00, 2013-01-02 23:59:50 +00:00, 4704, 18, 16, 1, 0, 1, 0, 3
41436, 46216, 2013-01-02 23:59:50 +00:00, 2013-01-03 23:59:50 +00:00, 4781, 10, 7, 0, 0, 3, 0, 6
46216, 50241, 2013-01-03 23:59:50 +00:00, 2013-01-05 00:00:00 +00:00, 4026, 19, 11, 3, 0, 5, 0, 2
50241, 53441, 2013-01-05 00:00:00 +00:00, 2013-01-05 23:59:50 +00:00, 3201, 25, 13, 0, 0, 12, 0, 2
53441, 57801, 2013-01-05 23:59:50 +00:00, 2013-01-06 23:59:50 +00:00, 4361, 39, 13, 2, 0, 24, 0, 4
57801, 60620, 2013-01-06 23:59:50 +00:00, 2013-01-07 23:59:50 +00:00, 2820, 17, 5, 4, 1, 7, 0, 3
60620, 63948, 2013-01-07 23:59:50 +00:00, 2013-01-09 00:00:00 +00:00, 3329, 93, 37, 7, 0, 49, 0, 9
63948, 68271, 2013-01-09 00:00:00 +00:00, 2013-01-09 23:59:50 +00:00, 4324, 49, 24, 2, 0, 23, 0, 6
68271, 72719, 2013-01-09 23:59:50 +00:00, 2013-01-11 00:00:00 +00:00, 4449, 91, 53, 7, 4, 27, 0, 19
72719, 77147, 2013-01-11 00:00:00 +00:00, 2013-01-12 00:00:00 +00:00, 4429, 21, 9, 5, 0, 7, 0, 2
77147, 81618, 2013-01-12 00:00:00 +00:00, 2013-01-12 23:59:50 +00:00, 4472, 32, 14, 0, 0, 18, 0, 2
81618, 86114, 2013-01-12 23:59:50 +00:00, 2013-01-13 23:59:50 +00:00, 4497, 26, 13, 0, 0, 1, 12, 5
86114, 90445, 2013-01-13 23:59:50 +00:00, 2013-01-15 00:00:00 +00:00, 4332, 16, 15, 0, 0, 1, 0, 4
90445, 95037, 2013-01-15 00:00:00 +00:00, 2013-01-16 00:00:00 +00:00, 4593, 80, 45, 8, 0, 26, 1, 4
95037, 99625, 2013-01-16 00:00:00 +00:00, 2013-01-16 23:59:50 +00:00, 4589, 63, 46, 2, 0, 5, 10, 4
99625, 104115, 2013-01-16 23:59:50 +00:00, 2013-01-18 00:00:00 +00:00, 4491, 120, 76, 2, 1, 8, 33, 8
104115, 109121, 2013-01-18 00:00:00 +00:00, 2013-01-18 23:59:50 +00:00, 5007, 89, 44, 6, 1, 17, 21, 13
109121, 113764, 2013-01-18 23:59:50 +00:00, 2013-01-19 23:59:50 +00:00, 4644, 33, 20, 2, 1, 10, 0, 6
113764, 118239, 2013-01-19 23:59:50 +00:00, 2013-01-20 23:59:50 +00:00, 4476, 19, 8, 4, 0, 7, 0, 1
118239, 122866, 2013-01-20 23:59:50 +00:00, 2013-01-22 00:00:00 +00:00, 4628, 37, 16, 1, 0, 20, 0, 3
122866, 127117, 2013-01-22 00:00:00 +00:00, 2013-01-23 00:00:00 +00:00, 4252, 54, 31, 3, 0, 20, 0, 10
127117, 131645, 2013-01-23 00:00:00 +00:00, 2013-01-23 23:59:50 +00:00, 4529, 123, 47, 15, 8, 31, 22, 7
131645, 136451, 2013-01-23 23:59:50 +00:00, 2013-01-25 00:00:00 +00:00, 4807, 46, 17, 9, 5, 15, 0, 7
136451, 140531, 2013-01-25 00:00:00 +00:00, 2013-01-26 00:00:00 +00:00, 4081, 44, 25, 3, 9, 7, 0, 8
140531, 144834, 2013-01-26 00:00:00 +00:00, 2013-01-27 00:00:00 +00:00, 4304, 46, 35, 1, 0, 10, 0, 23
144834, 149054, 2013-01-27 00:00:00 +00:00, 2013-01-28 00:00:00 +00:00, 4221, 30, 14, 3, 2, 11, 0, 3
149054, 153304, 2013-01-28 00:00:00 +00:00, 2013-01-29 00:00:00 +00:00, 4251, 40, 24, 6, 3, 7, 0, 6
153304, 157665, 2013-01-29 00:00:00 +00:00, 2013-01-30 00:00:00 +00:00, 4362, 76, 20, 27, 9, 20, 0, 3
157665, 161702, 2013-01-30 00:00:00 +00:00, 2013-01-31 00:00:00 +00:00, 4038, 64, 34, 9, 5, 16, 0, 4
161702, 165989, 2013-01-31 00:00:00 +00:00, 2013-01-31 23:59:50 +00:00, 4288, 56, 25, 4, 1, 26, 0, 8
165989, 170015, 2013-01-31 23:59:50 +00:00, 2013-02-02 00:00:00 +00:00, 4027, 22, 8, 6, 1, 7, 0, 2
170015, 174251, 2013-02-02 00:00:00 +00:00, 2013-02-02 23:59:50 +00:00, 4237, 39, 11, 23, 2, 3, 0, 1
174251, 178631, 2013-02-02 23:59:50 +00:00, 2013-02-04 00:00:00 +00:00, 4381, 6, 3, 0, 0, 3, 0, 3
